block,label,year,Thinning,distance,elevation,slope,orientation,total_richness,core_richness,transient_richness,transient_prop,TNH,TCH,TNL,TCL,CNH,CNL
1209,CONTROL1,2019,Control,129.74,1336.140632,8.300482223,EW,10,10,0,0,0.105710372,2.955645323,0.092060186,1.059799433,27.95984214,11.51202794
1209,CONTROL1,2019,Control,129.74,1336.140632,8.300482223,EW,5,4,1,0.2,0.151244253,2.025956869,0.053637668,0.545602918,13.39526514,10.17201032
1209,CONTROL1,2019,Control,129.74,1336.140632,8.300482223,EW,10,10,0,0,0.33178696,7.742644787,0.074335478,0.886111975,23.33619374,11.92044493
1209,CONTROL1,2019,Control,129.74,1336.140632,8.300482223,EW,9,9,0,0,0.290929198,6.164218903,0.128693253,2.218794823,21.18803798,17.24095688
1209,CONTROL1,2019,Control,129.74,1336.140632,8.300482223,EW,9,9,0,0,0.162120327,2.247699499,0.103397414,0.878455818,13.86439033,8.495916706
1209,CONTROL2,2019,Control,191.91,1336.643331,8.597756849,EW,10,10,0,0,0.152652323,2.250641108,0.105064541,0.936856866,14.74357586,8.916965287
1209,CONTROL2,2019,Control,191.91,1336.643331,8.597756849,EW,9,9,0,0,0.129615515,2.055775642,0.093965478,1.521793962,15.86056758,16.19524521
1209,CONTROL2,2019,Control,191.91,1336.643331,8.597756849,EW,5,5,0,0,0.157553196,3.432622194,0.111163676,1.436477661,21.787068,12.9221857
1209,CONTROL2,2019,Control,191.91,1336.643331,8.597756849,EW,9,9,0,0,0.156471491,2.132346869,0.114670023,1.378799319,13.62770213,12.02406069
1209,CONTROL2,2019,Control,191.91,1336.643331,8.597756849,EW,9,8,1,0.111111111,0.115158886,1.516984463,0.156746283,2.68995595,13.17296927,17.16121043
1209,T2C,2019,10 m,182.67,1338.101715,8.084564554,EW,10,10,0,0,0.22594431,6.316496849,0.153793961,2.913530111,27.95598985,18.94437269
1209,T2C,2019,10 m,182.67,1338.101715,8.084564554,EW,4,4,0,0,0.18164368,3.565642595,0.133173212,1.492392659,19.62987427,11.20640279
1209,T2C,2019,10 m,182.67,1338.101715,8.084564554,EW,9,9,0,0,0.159580067,2.910776854,0.145498678,2.07946682,18.24022832,14.29199802
1209,T2C,2019,10 m,182.67,1338.101715,8.084564554,EW,7,7,0,0,0.151246637,2.426751375,0.159998044,2.616457462,16.04499394,16.35305902
1209,T2C,2019,10 m,182.67,1338.101715,8.084564554,EW,6,6,0,0,0.158089727,2.913756132,0.119986154,1.426315188,18.43102765,11.88733149
1209,T2D,2019,10 m,187.15,1335.809905,7.723758992,EW,8,6,2,0.25,0.138194442,2.58530736,0.11362987,1.833324075,18.70775211,16.13417381
1209,T2D,2019,10 m,187.15,1335.809905,7.723758992,EW,11,11,0,0,0.165091291,3.977937222,0.125643775,1.944072604,24.09537896,15.47289236
1209,T2D,2019,10 m,187.15,1335.809905,7.723758992,EW,7,6,1,0.142857143,0.139502078,4.113209724,0.155745193,2.98002243,29.4849351,19.13396084
1209,T2D,2019,10 m,187.15,1335.809905,7.723758992,EW,11,11,0,0,0.232791424,4.844802856,0.153040126,2.281516075,20.81177553,14.90795999
1209,T2D,2019,10 m,187.15,1335.809905,7.723758992,EW,6,6,0,0,0.314974934,8.588693619,0.187363178,2.65905714,27.26786387,14.19199426
1209,T3B,2019,15 m,203.03,1347.955489,6.858934421,EW,17,16,1,0.058823529,0.169438183,2.961566687,0.087133117,1.461203933,17.47874434,16.76978837
1209,T3B,2019,15 m,203.03,1347.955489,6.858934421,EW,10,10,0,0,0.168511644,3.075205326,0.085709594,1.768796563,18.24921562,20.63708946
1209,T3B,2019,15 m,203.03,1347.955489,6.858934421,EW,11,11,0,0,0.296782941,8.80535984,0.157790706,1.909547925,29.66935977,12.10177696
1209,T3B,2019,15 m,203.03,1347.955489,6.858934421,EW,9,9,0,0,0.104698658,1.497824073,0.135605589,1.699893355,14.30604844,12.53557006
1209,T3B,2019,15 m,203.03,1347.955489,6.858934421,EW,9,9,0,0,0.218067467,3.628042221,0.209888011,3.512670517,16.63724657,16.7359274
1209,T3C,2019,15 m,186.71,1346.879923,7.051197172,EW,11,10,1,0.090909091,0.345550001,9.303452492,0.233634919,5.547220707,26.92360722,23.74311482
1209,T3C,2019,15 m,186.71,1346.879923,7.051197172,EW,6,6,0,0,0.315828532,10.18659592,0.212124869,4.498183727,32.25356447,21.20535769
1209,T3C,2019,15 m,186.71,1346.879923,7.051197172,EW,13,13,0,0,0.207111627,5.32141161,0.165694535,2.796969414,25.69344701,16.88027561
1209,T3C,2019,15 m,186.71,1346.879923,7.051197172,EW,6,6,0,0,0.276518881,6.127980709,0.13160409,1.446106553,22.16116556,10.98831009
1209,T3C,2019,15 m,186.71,1346.879923,7.051197172,EW,15,15,0,0,0.17970036,3.50073576,0.122642405,2.169655085,19.48096134,17.69090453
1209,T4B,2019,20 m,107.2,1355.012793,7.349142475,EW,14,12,2,0.142857143,0.269636691,4.751217365,0.242969379,4.306789398,17.62081175,17.72564682
1209,T4B,2019,20 m,107.2,1355.012793,7.349142475,EW,11,10,1,0.090909091,0.178506672,3.164427042,0.193009347,3.567818403,17.72721994,18.4852105
1209,T4B,2019,20 m,107.2,1355.012793,7.349142475,EW,13,12,1,0.076923077,0.108653814,1.061307073,0.204838976,4.078971863,9.767784834,19.91306507
1209,T4B,2019,20 m,107.2,1355.012793,7.349142475,EW,11,11,0,0,0.444734633,13.43212891,0.150718227,2.274870157,30.20257005,15.0935305
1209,T4B,2019,20 m,107.2,1355.012793,7.349142475,EW,15,14,1,0.066666667,0.924940228,28.31750298,0.279635489,8.38373661,30.61549504,29.98094641
1209,T4C,2019,20 m,201.75,1351.628466,6.671883531,EW,4,4,0,0,0.293239564,7.810274601,0.118741058,1.765305758,26.63445035,14.86685221
1209,T4C,2019,20 m,201.75,1351.628466,6.671883531,EW,10,10,0,0,0.74445051,25.6476326,0.127988294,1.747411728,34.45176311,13.65290275
1209,T4C,2019,20 m,201.75,1351.628466,6.671883531,EW,8,8,0,0,0.250051707,7.859107018,0.178730786,3.804890156,31.42992748,21.2883871
1209,T4C,2019,20 m,201.75,1351.628466,6.671883531,EW,12,12,0,0,0.171119824,3.401779175,0.145969659,1.895765185,19.87951538,12.98739202
1209,T4C,2019,20 m,201.75,1351.628466,6.671883531,EW,10,9,1,0.1,0.2222137,4.167352676,0.311448634,6.302575111,18.75380622,20.23632288
1210,CONTROL1,2019,Control,206.9,1373.758494,7.66753411,EW,6,6,0,0,0.23144266,5.074897766,0.1959472,3.559425592,21.92723573,18.16522814
1210,CONTROL1,2019,Control,206.9,1373.758494,7.66753411,EW,5,5,0,0,0.291887403,7.126503944,0.202013403,3.985492468,24.41525014,19.72885168
1210,CONTROL1,2019,Control,206.9,1373.758494,7.66753411,EW,7,7,0,0,0.286078691,7.568058014,0.136480823,1.865411401,26.45446249,13.66793779
1210,CONTROL1,2019,Control,206.9,1373.758494,7.66753411,EW,6,6,0,0,0.25611949,5.729717731,0.242524803,6.137281418,22.37126795,25.30578873
1210,CONTROL1,2019,Control,206.9,1373.758494,7.66753411,EW,5,5,0,0,0.88084656,36.14972687,0.30225113,7.336402893,41.03975483,24.2725408
1210,CONTROL2,2019,Control,211.18,1373.477016,7.734372697,EW,7,7,0,0,0.259888083,5.385885715,0.26396969,5.909090042,20.72386567,22.38548695
1210,CONTROL2,2019,Control,211.18,1373.477016,7.734372697,EW,9,9,0,0,0.371851772,6.922002792,0.347709864,6.563293934,18.61495174,18.87577721
1210,CONTROL2,2019,Control,211.18,1373.477016,7.734372697,EW,5,4,1,0.2,0.243276402,4.739827633,0.163057849,2.734280348,19.48330207,16.76877481
1210,CONTROL2,2019,Control,211.18,1373.477016,7.734372697,EW,7,7,0,0,0.22125341,4.081917286,0.209572762,3.362661839,18.44905932,16.04531907
1210,CONTROL2,2019,Control,211.18,1373.477016,7.734372697,EW,5,5,0,0,0.299313813,7.670118332,0.213157028,4.351078987,25.62567442,20.41255233
1210,T2I,2019,10 m,139.16,1373.11445,5.160108295,EW,9,9,0,0,0.265111774,7.708572388,0.107590757,1.105000615,29.07668817,10.27040466
1210,T2I,2019,10 m,139.16,1373.11445,5.160108295,EW,10,10,0,0,0.171808675,2.677545071,0.086607687,0.989526808,15.58445795,11.42539237
1210,T2I,2019,10 m,139.16,1373.11445,5.160108295,EW,10,10,0,0,0.175540313,4.229444981,0.299013764,8.919569969,24.09386713,29.82996455
